url,idvscore,reviewer,dateP
https://www.metacritic.com/movie/bronson,100," ""Andrew O'Hehir""", None
https://www.metacritic.com/movie/bronson,90, 'A.O. Scott', None
https://www.metacritic.com/movie/bronson,90, None, None
https://www.metacritic.com/movie/bronson,83, 'Noel Murray', None
https://www.metacritic.com/movie/bronson,80, 'Joshua Rothkopf', None
https://www.metacritic.com/movie/bronson,80, None, None
https://www.metacritic.com/movie/bronson,80, 'Bill Goodykoontz', None
https://www.metacritic.com/movie/bronson,78, 'Kimberley Jones', None
https://www.metacritic.com/movie/bronson,75, 'Peter Travers', None
https://www.metacritic.com/movie/bronson,75, 'V.A. Musetto', None
https://www.metacritic.com/movie/bronson,75, 'David Hiltbrand', None
https://www.metacritic.com/movie/bronson,75, 'Roger Ebert', None
https://www.metacritic.com/movie/bronson,75, 'Michael Phillips', None
https://www.metacritic.com/movie/bronson,75, 'Ty Burr', None
https://www.metacritic.com/movie/bronson,75, 'Shawn Levy', None
https://www.metacritic.com/movie/bronson,70, None, None
https://www.metacritic.com/movie/bronson,63, 'James Berardinelli', None
https://www.metacritic.com/movie/bronson,60, None, None
https://www.metacritic.com/movie/bronson,50, 'Rick Groen', None
https://www.metacritic.com/movie/bronson,30, None, None
https://www.metacritic.com/movie/bronson,30, 'J. Hoberman', None
https://www.metacritic.com/movie/bronson,25, 'Walter Addiego', None
https://www.metacritic.com/movie/disgrace,100, 'Roger Ebert', None
https://www.metacritic.com/movie/disgrace,90, 'Stephen Holden', None
https://www.metacritic.com/movie/disgrace,83, 'Peter Rainer', None
https://www.metacritic.com/movie/disgrace,80, None, None
https://www.metacritic.com/movie/disgrace,80, 'Bob Mondello', None
https://www.metacritic.com/movie/disgrace,80, None, None
https://www.metacritic.com/movie/disgrace,75, 'V.A. Musetto', None
https://www.metacritic.com/movie/disgrace,75, 'Lisa Schwarzbaum', None
https://www.metacritic.com/movie/disgrace,75, 'Ty Burr', None
https://www.metacritic.com/movie/disgrace,70, 'Eddie Cockrell', None
https://www.metacritic.com/movie/disgrace,70, 'J.R. Jones', None
https://www.metacritic.com/movie/disgrace,70, 'Joe Morgenstern', None
https://www.metacritic.com/movie/disgrace,70, None, None
https://www.metacritic.com/movie/disgrace,67, 'Keith Phipps', None
https://www.metacritic.com/movie/disgrace,60, None, None
https://www.metacritic.com/movie/disgrace,60, 'Philip Kennicott', None
https://www.metacritic.com/movie/disgrace,40, None, None
https://www.metacritic.com/movie/disgrace,40, 'Joe Neumaier', None
https://www.metacritic.com/movie/a-screaming-man,90, 'Manohla Dargis'," 'Apr 14, 2011'"
https://www.metacritic.com/movie/a-screaming-man,83, 'Eric Kohn'," 'Apr 12, 2011'"
https://www.metacritic.com/movie/a-screaming-man,80, 'Robert Koehler'," 'May 26, 2013'"
